Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
polygonal_fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;
polygonal_fort_desc;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;Polygonal Fort;
replaceable_parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;
replaceable_parts_desc;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;Replaceable Parts;
vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;
vauban_desc;Sébastien Le Prestre de Vauban was a French military engineer who served under Louis XIV. He is generally considered the greatest engineer of his time, and one of the most important in Western military history. His principles for fortifications were widely used for nearly 100 years, while aspects of his offensive tactics remained in use until the mid-twentieth century. While his modern fame rests on the fortifications he built, Vauban's greatest innovations were in offensive operations, an approach he summarised as 'More powder, less blood.';Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;Sébastien Le Prestre de Vauban;
levee_en_masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;
levee_en_masse_desc;Levée en masse is a French term used for a policy of mass national conscription, often in the face of invasion. The concept originated during the French Revolutionary Wars, particularly for the period following 16 August 1793, when able-bodied men aged 18 to 25 were conscripted. It formed an integral part of the creation of national identity, making it distinct from forms of conscription which had existed before this date.;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;Levée en masse;
rocket_artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;
rocket_artillery_desc;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;Metal-cylinder rocket artillery;
